MAE,RMSE,R2
761873927773583.0,7948076467276830.0,-2.1559284231472923e+19
277518.10545175703,803956.3448944297,0.779415395088594
266474.2523708706,770586.7949011759,0.7973468355586568
227210.92424242425,869710.6310018938,0.7418573154415118
171660.6360994709,663951.5552900642,0.8495531670639259
268349.7060518603,700248.7805105264,0.8326541344935802
